Categories,Energy_source,Efficiency_class,surface
Bureaux Administration,Biomasse,A,0.0
Bureaux Administration,Biomasse,B,0.0
Bureaux Administration,Biomasse,C,894240.0
Bureaux Administration,Biomasse,D,2101464.0
Bureaux Administration,Biomasse,E,1117800.0
Bureaux Administration,Biomasse,F,357696.0
Bureaux Administration,Biomasse,G,0.0
Bureaux Administration,Chaudière fioul,A,0.0
Bureaux Administration,Chaudière fioul,B,0.0
Bureaux Administration,Chaudière fioul,C,5365440.0
Bureaux Administration,Chaudière fioul,D,12608783.999999998
Bureaux Administration,Chaudière fioul,E,6706800.0
Bureaux Administration,Chaudière fioul,F,2146176.0
Bureaux Administration,Chaudière fioul,G,0.0
Bureaux Administration,Chaudière gaz,A,0.0
Bureaux Administration,Chaudière gaz,B,0.0
Bureaux Administration,Chaudière gaz,C,19226160.0
Bureaux Administration,Chaudière gaz,D,45181475.99999999
Bureaux Administration,Chaudière gaz,E,24032700.0
Bureaux Administration,Chaudière gaz,F,7690464.0
Bureaux Administration,Chaudière gaz,G,0.0
Bureaux Administration,Chauffage urbain,A,0.0
Bureaux Administration,Chauffage urbain,B,0.0
Bureaux Administration,Chauffage urbain,C,3576960.0
Bureaux Administration,Chauffage urbain,D,8405856.0
Bureaux Administration,Chauffage urbain,E,4471200.0
Bureaux Administration,Chauffage urbain,F,1430784.0
Bureaux Administration,Chauffage urbain,G,0.0
Bureaux Administration,Chauffage électrique,A,0.0
Bureaux Administration,Chauffage électrique,B,0.0
Bureaux Administration,Chauffage électrique,C,10283760.000000002
Bureaux Administration,Chauffage électrique,D,24166836.0
Bureaux Administration,Chauffage électrique,E,12854700.0
Bureaux Administration,Chauffage électrique,F,4113504.0
Bureaux Administration,Chauffage électrique,G,0.0
Bureaux Administration,Pompes à chaleur air-eau,A,0.0
Bureaux Administration,Pompes à chaleur air-eau,B,0.0
Bureaux Administration,Pompes à chaleur air-eau,C,5365440.0
Bureaux Administration,Pompes à chaleur air-eau,D,12608783.999999998
Bureaux Administration,Pompes à chaleur air-eau,E,6706800.0
Bureaux Administration,Pompes à chaleur air-eau,F,2146176.0
Bureaux Administration,Pompes à chaleur air-eau,G,0.0
Bureaux Administration,Pompes à chaleur air-air,A,0.0
Bureaux Administration,Pompes à chaleur air-air,B,0.0
Bureaux Administration,Pompes à chaleur air-air,C,0.0
Bureaux Administration,Pompes à chaleur air-air,D,0.0
Bureaux Administration,Pompes à chaleur air-air,E,0.0
Bureaux Administration,Pompes à chaleur air-air,F,0.0
Bureaux Administration,Pompes à chaleur air-air,G,0.0
Bureaux Administration,Pompes à chaleur hybride,A,0.0
Bureaux Administration,Pompes à chaleur hybride,B,0.0
Bureaux Administration,Pompes à chaleur hybride,C,0.0
Bureaux Administration,Pompes à chaleur hybride,D,0.0
Bureaux Administration,Pompes à chaleur hybride,E,0.0
Bureaux Administration,Pompes à chaleur hybride,F,0.0
Bureaux Administration,Pompes à chaleur hybride,G,0.0
Café Hôtel Restaurant,Biomasse,A,0.0
Café Hôtel Restaurant,Biomasse,B,0.0
Café Hôtel Restaurant,Biomasse,C,983664.0000000001
Café Hôtel Restaurant,Biomasse,D,1073088.0
Café Hôtel Restaurant,Biomasse,E,1296648.0
Café Hôtel Restaurant,Biomasse,F,983664.0000000001
Café Hôtel Restaurant,Biomasse,G,134136.0
Café Hôtel Restaurant,Chaudière fioul,A,0.0
Café Hôtel Restaurant,Chaudière fioul,B,0.0
Café Hôtel Restaurant,Chaudière fioul,C,8852976.0
Café Hôtel Restaurant,Chaudière fioul,D,9657791.999999998
Café Hôtel Restaurant,Chaudière fioul,E,11669832.0
Café Hôtel Restaurant,Chaudière fioul,F,8852976.0
Café Hôtel Restaurant,Chaudière fioul,G,1207223.9999999998
Café Hôtel Restaurant,Chaudière gaz,A,0.0
Café Hôtel Restaurant,Chaudière gaz,B,0.0
Café Hôtel Restaurant,Chaudière gaz,C,17214120.0
Café Hôtel Restaurant,Chaudière gaz,D,18779039.999999996
Café Hôtel Restaurant,Chaudière gaz,E,22691340.0
Café Hôtel Restaurant,Chaudière gaz,F,17214120.0
Café Hôtel Restaurant,Chaudière gaz,G,2347379.9999999995
Café Hôtel Restaurant,Chauffage urbain,A,0.0
Café Hôtel Restaurant,Chauffage urbain,B,0.0
Café Hôtel Restaurant,Chauffage urbain,C,2950992.0
Café Hôtel Restaurant,Chauffage urbain,D,3219264.0
Café Hôtel Restaurant,Chauffage urbain,E,3889943.9999999995
Café Hôtel Restaurant,Chauffage urbain,F,2950992.0
Café Hôtel Restaurant,Chauffage urbain,G,402408.0
Café Hôtel Restaurant,Chauffage électrique,A,0.0
Café Hôtel Restaurant,Chauffage électrique,B,0.0
Café Hôtel Restaurant,Chauffage électrique,C,12787632.0
Café Hôtel Restaurant,Chauffage électrique,D,13950144.0
Café Hôtel Restaurant,Chauffage électrique,E,16856424.0
